"country","state","city","zip_from","zip_to","price_from","price_to","weight_from","weight_to","qty_from","qty_to","shipping_type","rate","ppp","frpp","frpuw","start_weight","estimated_delivery","name_delivery"
"United Kingdom","","","","","0.00","99999999.00","0.0000","9999999.0000","0.00","99999999.00","","12.99","0.00","0.00","0.39","20.00","",""
"United Kingdom","","","BT1","BT94","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","25.99","0.00","0.00","1.10","20.00","",""
"United Kingdom","","","IV1","IV54","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","AB1","AB99","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","DD8","DD11","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","KW1","KW17","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","HS1","HS9","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","ZE1","ZE3","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","PA20","PA76","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","PH15","PH50","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","FK17","FK21","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","KA27","KA28","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","PO30","PO41","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","JE1","JE5","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","GY1","GY10","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","IM1","IM9","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
"United Kingdom","","","IM99","","0.00","99999999.00","0.0000","99999999.0000","0.00","99999999.00","","27.95","0.00","0.00","1.05","20.00","",""
